#run N+ N- A_raw_p dA_raw_p
5976 30 25 0.0909091 0.134282
5979 2 2 0 0.5
5980 5 10 -0.333333 0.243432
5981 0 1 -1 0
5985 27 26 0.0188679 0.137336
5986 26 26 0 0.138675
5987 26 14 0.3 0.150831
5988 33 22 0.2 0.132116
5989 13 8 0.238095 0.211942
5990 31 35 -0.0606061 0.122865
5991 26 29 -0.0545455 0.134639
5994 22 29 -0.137255 0.138703
5995 7 14 -0.333333 0.205738
5996 17 24 -0.170732 0.153881
5997 35 31 0.0606061 0.122865
5998 29 33 -0.0645161 0.126736
5999 27 26 0.0188679 0.137336
6001 20 20 0 0.158114
6002 1 2 -0.333333 0.544331
6003 28 21 0.142857 0.141392
6004 28 24 0.0769231 0.138264
6005 22 21 0.0232558 0.152457
6006 25 26 -0.0196078 0.140001
6007 20 18 0.0526316 0.161997
6008 27 28 -0.0181818 0.134818
6009 19 26 -0.155556 0.147257
6010 30 17 0.276596 0.140174
6012 15 23 -0.210526 0.158586
6013 33 31 0.03125 0.124939
6014 34 23 0.192982 0.129963
6016 33 34 -0.0149254 0.122156
6017 35 46 -0.135802 0.110082
6018 29 19 0.208333 0.14117
6019 27 19 0.173913 0.145195
6020 36 32 0.0588235 0.121058
6024 32 18 0.28 0.135765
6025 38 36 0.027027 0.116205
6026 36 32 0.0588235 0.121058
6027 33 36 -0.0434783 0.120272
6028 27 24 0.0588235 0.139786
6029 40 24 0.25 0.121031
6030 8 17 -0.36 0.18659
6031 14 7 0.333333 0.205738
6032 9 3 0.5 0.25
6033 22 22 0 0.150756
6034 19 29 -0.208333 0.14117
6035 26 32 -0.103448 0.130602
6036 20 31 -0.215686 0.136732
6037 36 28 0.125 0.12402
6038 18 16 0.0588235 0.171202
6039 22 34 -0.214286 0.130527
6040 32 23 0.163636 0.133022
6041 34 26 0.133333 0.127947
6042 29 26 0.0545455 0.134639
6043 24 31 -0.127273 0.133743
6044 32 23 0.163636 0.133022
6048 24 27 -0.0588235 0.139786
6050 19 21 -0.05 0.157916
6051 24 22 0.0434783 0.147303
6052 22 28 -0.12 0.140399
6053 12 8 0.2 0.219089
6060 42 28 0.2 0.117108
6061 33 30 0.047619 0.125845
6062 7 14 -0.333333 0.205738
6063 32 25 0.122807 0.131451
6064 27 26 0.0188679 0.137336
6065 25 25 0 0.141421
6066 21 27 -0.125 0.143205
6068 22 4 0.692308 0.141518
6069 15 15 0 0.182574
6070 24 24 0 0.144338
6071 23 19 0.0952381 0.153602
6072 17 23 -0.15 0.156325
6073 46 29 0.226667 0.112465
6074 23 29 -0.115385 0.137749
6075 27 19 0.173913 0.145195
6076 8 15 -0.304348 0.198623
6077 22 20 0.047619 0.154128
6078 27 22 0.102041 0.142111
6079 9 2 0.636364 0.232583
6081 26 37 -0.174603 0.124053
6082 25 27 -0.0384615 0.138572
6083 27 26 0.0188679 0.137336
