Q2,GEn_over_GD,dGEn_over_GD,dGEnPar_over_GD,dGEn_total
1.4962e-05,7.433713e-06,1.408058e-07,1.408262e-07,1.9914389752156607e-07
1.5136e-05,7.519787e-06,1.424356e-07,1.42458e-07,2.014501970993327e-07
1.5311e-05,7.606859e-06,1.440843e-07,1.441087e-07,2.0378322532087867e-07
1.5488e-05,7.694939e-06,1.45752e-07,1.457785e-07,2.0614319432435794e-07
1.5668e-05,7.784038e-06,1.474391e-07,1.474677e-07,2.0853059907864842e-07
1.5849e-05,7.874169e-06,1.491456e-07,1.491764e-07,2.1094551030140464e-07
1.6032e-05,7.965344e-06,1.508719e-07,1.50905e-07,2.133884936790407e-07
1.6218e-05,8.057575e-06,1.526182e-07,1.526535e-07,2.1585969061751665e-07
1.6406e-05,8.150873e-06,1.543847e-07,1.544223e-07,2.183595253964892e-07
1.6596e-05,8.245252e-06,1.561716e-07,1.562117e-07,2.208883515793669e-07
1.6788e-05,8.340723e-06,1.579792e-07,1.580217e-07,2.234463812719508e-07
1.6982e-05,8.4373e-06,1.598078e-07,1.598527e-07,2.2603410945724543e-07
1.7179e-05,8.534995e-06,1.616574e-07,1.61705e-07,2.2865174829806135e-07
1.7378e-05,8.633821e-06,1.635285e-07,1.635787e-07,2.312997220187262e-07
1.7579e-05,8.733791e-06,1.654212e-07,1.654741e-07,2.339783134827884e-07
1.7783e-05,8.834919e-06,1.673358e-07,1.673915e-07,2.3668794695524739e-07
1.7989e-05,8.937218e-06,1.692726e-07,1.693311e-07,2.394289759782011e-07
1.8197e-05,9.040701e-06,1.712318e-07,1.712931e-07,2.4220168339392273e-07
1.8408e-05,9.145382e-06,1.732136e-07,1.732779e-07,2.450064934922542e-07
1.8621e-05,9.251276e-06,1.752184e-07,1.752857e-07,2.4784383051238134e-07
1.8836e-05,9.358395e-06,1.772463e-07,1.773168e-07,2.5071397732461985e-07
1.9055e-05,9.466755e-06,1.792977e-07,1.793714e-07,2.536173581662935e-07
1.9275e-05,9.576369e-06,1.813729e-07,1.814498e-07,2.565543973009428e-07
1.9498e-05,9.687253e-06,1.834721e-07,1.835523e-07,2.595254482968867e-07
1.9724e-05,9.79942e-06,1.855955e-07,1.856792e-07,2.6253086472430245e-07
1.9953e-05,9.912886e-06,1.877435e-07,1.878306e-07,2.6557100008963704e-07
2.0184e-05,1.002767e-05,1.899164e-07,1.900071e-07,2.686464908376248e-07
2.0417e-05,1.014377e-05,1.921143e-07,1.922087e-07,2.717574076638574e-07
